id,latitude,longitude,district_group,district,price
24335944,37.38498,-5.98689,Casco Antiguo,Santa Cruz,195.0
24335945,37.38333,-5.98705,Nervión,San Bernardo,184.0
24335947,37.38356,-5.98503,Nervión,San Bernardo,205.0
24350725,37.38905,-5.98633,Casco Antiguo,San Bartolomé,92.0
24354967,37.39308,-5.98638,Casco Antiguo,Santa Catalina,73.0
24356005,37.37808,-5.99707,Los Remedios,Los Remedios,114.0
24388736,37.39114,-5.98563,Casco Antiguo,Santa Catalina,75.0
24411728,37.37884,-6.00306,Triana,Triana Este,109.0
24419054,37.38655,-5.99027,Casco Antiguo,Santa Cruz,142.0
24425819,37.40181,-5.99283,Casco Antiguo,San Gil,110.0
24436155,37.38866,-5.99256,Casco Antiguo,Santa Cruz,107.0
24467808,37.38681,-5.99762,Casco Antiguo,Arenal,639.0
24614824,37.39446,-5.99075,Casco Antiguo,"Encarnación, Regina",173.0
24670406,37.39155,-5.99892,Casco Antiguo,Museo,106.0
24672757,37.39277,-5.99436,Casco Antiguo,Alfalfa,129.0
24674277,37.38633,-5.99322,Casco Antiguo,Santa Cruz,288.0
24687101,37.3815,-6.00655,Triana,Triana Este,93.0
24743363,37.4059,-5.9294,Este - Alcosa - Torreblanca,no asignado,92.0
24744006,37.38371,-6.00591,Triana,Triana Oeste,103.0
24824352,37.38545,-5.90676,Este - Alcosa - Torreblanca,"Colores, Entreparques",57.0
24825576,37.38467,-5.90515,Este - Alcosa - Torreblanca,"Colores, Entreparques",66.0
24830281,37.38751,-5.99627,Casco Antiguo,Arenal,186.0
24864829,37.39512,-5.99259,Casco Antiguo,"Encarnación, Regina",107.0
24865473,37.38633,-5.99531,Casco Antiguo,Arenal,171.0
24865497,37.38517,-5.99647,Casco Antiguo,Arenal,179.0
24901855,37.38983,-5.99143,Casco Antiguo,Alfalfa,292.0
24904129,37.3878,-5.98841,Casco Antiguo,San Bartolomé,144.0
24957949,37.38892,-5.98785,Casco Antiguo,San Bartolomé,164.0
24977127,37.382351,-5.983206,Nervión,San Bernardo,85.0
25061797,37.39846,-5.98797,Casco Antiguo,San Julián,112.0
25118500,37.38942,-5.99009,Casco Antiguo,Alfalfa,88.0
25248968,37.393856048583984,-6.0005621910095215,Casco Antiguo,San Vicente,105.0
25251713,37.39877,-5.99343,Casco Antiguo,Feria,78.0
25340337,37.39597,-5.99393,Casco Antiguo,"Encarnación, Regina",200.0
25460688,37.40168,-5.99561,Casco Antiguo,San Gil,53.0
25470672,37.38766,-5.98901,Casco Antiguo,San Bartolomé,142.0
25477149,37.39254,-5.98778,Casco Antiguo,Santa Catalina,112.0
25491143,37.39114,-5.98225,Nervión,an Roque,111.0
