listing_id,num_reviews_sampled,avg_sentiment_score,num_reviews_total,sentiment_label
2995473,23,0.7957,23,Positiv
3112639,30,0.8044,456,Positiv
3117591,30,0.855,552,Positiv
3121700,28,0.7022,28,Positiv
3122884,30,0.7617,728,Positiv
3126207,30,0.8656,72,Positiv
3149646,28,0.7065,28,Positiv
3178429,30,0.7422,228,Positiv
3181561,30,0.9207,497,Positiv
3247106,30,0.7122,170,Positiv
3288788,30,0.858,484,Positiv
3292591,30,0.815,368,Positiv
3311224,30,0.6604,588,Positiv
3325399,30,0.8504,459,Positiv
3385437,30,0.8006,336,Positiv
3430007,30,0.7026,604,Positiv
3439475,30,0.7228,416,Positiv
3566255,27,0.7431,27,Positiv
3583382,18,0.793,18,Positiv
3588867,30,0.745,122,Positiv
3657248,18,0.8874,18,Positiv
3728141,30,0.6742,399,Positiv
3785363,30,0.8167,269,Positiv
3787295,30,0.8321,533,Positiv
3945770,30,0.7359,180,Positiv
3965282,30,0.7799,33,Positiv
3984883,9,0.4542,9,Positiv
3988837,30,0.7406,505,Positiv
4018679,30,0.668,63,Positiv
4034796,30,0.6787,31,Positiv
4065242,1,0.7303,1,Positiv
4074933,20,0.8689,20,Positiv
4101376,30,0.8724,261,Positiv
4101440,30,0.8546,335,Positiv
4109605,25,0.7949,25,Positiv
4118994,30,0.885,147,Positiv
4134733,30,0.7742,847,Positiv
4181460,30,0.7781,309,Positiv
4260204,11,0.7203,11,Positiv
4261195,4,0.5375,4,Positiv
4282345,30,0.7955,34,Positiv
4307036,30,0.8081,120,Positiv
4336919,1,0.9259,1,Positiv
4361851,30,0.7438,168,Positiv
4364091,30,0.7398,199,Positiv
4364756,30,0.7725,116,Positiv
4384062,30,0.7488,176,Positiv
4386673,30,0.8811,1287,Positiv
4403024,30,0.8446,505,Positiv
4411594,30,0.742,254,Positiv
4426388,30,0.6807,285,Positiv
4453447,30,0.7878,329,Positiv
4496592,30,0.8046,379,Positiv
4497047,30,0.8892,367,Positiv
4498859,30,0.8163,373,Positiv
4509738,30,0.8006,220,Positiv
4541878,30,0.7981,54,Positiv
4547759,30,0.7407,202,Positiv
4563863,30,0.8479,460,Positiv
4609707,2,0.7929,2,Positiv
4612991,30,0.6683,286,Positiv
4626048,30,0.5936,70,Positiv
4652296,30,0.8185,360,Positiv
4664958,30,0.7848,274,Positiv
4716236,30,0.8313,104,Positiv
4722409,30,0.7575,52,Positiv
4723679,26,0.8515,26,Positiv
4727529,30,0.9132,47,Positiv
4783315,30,0.7568,101,Positiv
4783609,30,0.8768,497,Positiv
4791168,30,0.7796,145,Positiv
4794692,30,0.7864,124,Positiv
4814366,30,0.8365,118,Positiv
4880044,30,0.8456,821,Positiv
4902106,30,0.9171,502,Positiv
4940781,30,0.8199,146,Positiv
4943974,30,0.6626,236,Positiv
4964091,30,0.869,427,Positiv
4976079,30,0.5539,103,Positiv
4990173,30,0.8844,201,Positiv
4993747,30,0.8328,112,Positiv
4994094,30,0.8033,73,Positiv
5057721,30,0.7826,165,Positiv
5065514,30,0.8853,515,Positiv
5068335,2,0.9114,2,Positiv
5113212,30,0.905,306,Positiv
5157602,30,0.9118,429,Positiv
5167458,30,0.652,33,Positiv
5182927,4,0.8338,4,Positiv
5191898,30,0.7136,79,Positiv
5213071,30,0.804,69,Positiv
5237109,30,0.7367,44,Positiv
5275169,30,0.8146,439,Positiv
5292930,30,0.872,431,Positiv
5327272,1,0.9371,1,Positiv
5342065,30,0.8866,63,Positiv
5352505,30,0.7865,217,Positiv
5412398,30,0.8777,66,Positiv
5414323,8,0.8842,8,Positiv
5416151,30,0.8675,661,Positiv
5453664,30,0.8132,262,Positiv
5472576,30,0.8557,187,Positiv
5473368,30,0.7518,330,Positiv
5497586,30,0.781,147,Positiv
5507392,30,0.7421,386,Positiv
5509944,30,0.7339,150,Positiv
5583905,30,0.7326,142,Positiv
5605206,30,0.7508,31,Positiv
5626032,30,0.7465,213,Positiv
5636225,30,0.8674,336,Positiv
5660961,30,0.6287,71,Positiv
5660964,30,0.8672,65,Positiv
5675966,30,0.7131,177,Positiv
5699290,30,0.8347,34,Positiv
5703813,30,0.7867,175,Positiv
5732628,30,0.8615,330,Positiv
5747577,30,0.7826,127,Positiv
5782306,30,0.8583,586,Positiv
5789339,30,0.8655,126,Positiv
5791564,30,0.8627,581,Positiv
5796200,30,0.7079,103,Positiv
5808218,30,0.7755,177,Positiv
5821139,30,0.907,537,Positiv
5842614,26,0.8101,26,Positiv
5872933,30,0.7749,264,Positiv
5890637,30,0.6885,105,Positiv
5898645,30,0.7705,153,Positiv
5921584,30,0.8054,158,Positiv
5938849,30,0.7169,342,Positiv
5941781,9,0.7178,9,Positiv
5951130,9,0.66,9,Positiv
5976389,30,0.6419,64,Positiv
5977453,30,0.8473,111,Positiv
5999985,30,0.874,91,Positiv
6012501,30,0.8469,64,Positiv
6013200,30,0.8642,45,Positiv
6123853,30,0.7128,270,Positiv
6166475,30,0.632,72,Positiv
6168352,30,0.7807,231,Positiv
6221778,30,0.8725,287,Positiv
6232520,30,0.746,123,Positiv
6245213,30,0.7498,200,Positiv
6308246,30,0.8563,598,Positiv
6314657,30,0.7644,83,Positiv
6323959,30,0.7242,55,Positiv
6386402,30,0.7874,292,Positiv
6441665,30,0.7495,112,Positiv
6447816,30,0.7483,97,Positiv
6583578,30,0.7683,493,Positiv
6627258,30,0.7646,240,Positiv
6671489,27,0.8037,27,Positiv
6682427,30,0.5951,117,Positiv
6687710,30,0.7696,157,Positiv
6743737,30,0.8097,170,Positiv
6776175,30,0.83,656,Positiv
6781368,30,0.7528,512,Positiv
6781544,30,0.7972,174,Positiv
6783377,30,0.7151,195,Positiv
6849928,30,0.8338,87,Positiv
6937664,30,0.8106,469,Positiv
7008478,30,0.8524,585,Positiv
7009267,30,0.6566,497,Positiv
7068050,30,0.7466,195,Positiv
7091177,30,0.7511,530,Positiv
7117752,30,0.78,268,Positiv
7121275,30,0.8633,129,Positiv
7127021,2,0.91,2,Positiv
7147901,30,0.574,155,Positiv
7209013,30,0.7291,334,Positiv
7219171,30,0.82,78,Positiv
7277253,30,0.74,62,Positiv
7306688,30,0.8235,610,Positiv
7418386,30,0.8521,134,Positiv
7435192,30,0.7492,289,Positiv
7528195,30,0.8516,279,Positiv
7545165,30,0.8027,622,Positiv
7594006,30,0.673,441,Positiv
7625854,25,0.7251,25,Positiv
7661143,30,0.8741,145,Positiv
7673023,30,0.8693,818,Positiv
7852246,28,0.8851,28,Positiv
7897182,30,0.8588,128,Positiv
7900230,30,0.8284,436,Positiv
7907884,30,0.86,581,Positiv
7923460,30,0.658,74,Positiv
7968876,30,0.8747,256,Positiv
7992153,30,0.531,57,Positiv
8024531,30,0.5732,547,Positiv
8065307,30,0.8261,370,Positiv
8066760,30,0.9015,611,Positiv
8142794,30,0.7483,169,Positiv
8166931,30,0.7489,537,Positiv
8241882,30,0.8358,505,Positiv
8377029,30,0.6981,367,Positiv
8396687,11,0.8242,11,Positiv
8400601,30,0.837,491,Positiv
8405159,30,0.725,378,Positiv
8414882,30,0.8548,236,Positiv
8433932,30,0.6765,51,Positiv
8480456,30,0.6401,185,Positiv
8484988,30,0.7416,414,Positiv
8509687,30,0.8165,51,Positiv
8544920,30,0.8601,510,Positiv
8605561,30,0.7583,160,Positiv
8609567,30,0.807,523,Positiv
8617823,30,0.8073,141,Positiv
8617941,30,0.6558,316,Positiv
8627621,30,0.8513,581,Positiv
8669984,30,0.6359,106,Positiv
8682598,30,0.7131,78,Positiv
8740226,30,0.698,502,Positiv
8757913,30,0.7755,330,Positiv
8819019,30,0.8341,72,Positiv
8860070,19,0.6503,19,Positiv
8892905,30,0.8375,261,Positiv
8894954,30,0.6998,241,Positiv
8918755,30,0.7821,367,Positiv
8928529,30,0.7422,332,Positiv
8928663,30,0.7676,1341,Positiv
8929713,30,0.7559,42,Positiv
8979635,30,0.6208,173,Positiv
8981886,30,0.7687,125,Positiv
8982114,30,0.7554,76,Positiv
9055034,30,0.7819,265,Positiv
9120061,30,0.7568,207,Positiv
9122693,17,0.723,17,Positiv
9124881,30,0.8303,559,Positiv
9242940,30,0.7937,223,Positiv
9323663,30,0.8199,382,Positiv
9331498,30,0.7846,451,Positiv
9361346,30,0.7833,583,Positiv
9381743,30,0.7509,77,Positiv
9441230,30,0.8448,241,Positiv
9490060,30,0.7582,284,Positiv
9520228,30,0.8592,384,Positiv
9538686,30,0.7719,400,Positiv
9600227,30,0.8733,709,Positiv
9618589,30,0.8582,445,Positiv
9626758,30,0.8681,219,Positiv
9662408,30,0.7744,386,Positiv
9692435,30,0.8531,638,Positiv
9720611,30,0.7599,123,Positiv
9798104,30,0.6581,490,Positiv
9913219,30,0.8767,278,Positiv
9953348,30,0.8969,55,Positiv
9975658,17,0.7001,17,Positiv
10006083,30,0.8401,415,Positiv
10023512,30,0.8169,401,Positiv
10026753,19,0.7254,19,Positiv
10081909,30,0.7964,298,Positiv
10128523,30,0.7879,600,Positiv
10132972,30,0.8606,172,Positiv
10153527,30,0.8583,322,Positiv
10157369,30,0.7782,124,Positiv
10205129,30,0.7941,404,Positiv
10312902,30,0.8697,207,Positiv
10322701,30,0.7492,188,Positiv
10481092,30,0.7234,203,Positiv
10542087,30,0.8014,151,Positiv
10563471,28,0.8557,28,Positiv
10601066,30,0.718,440,Positiv
10647122,30,0.6442,488,Positiv
10683649,30,0.7994,307,Positiv
10691549,30,0.8249,524,Positiv
10744544,30,0.8308,122,Positiv
10750605,30,0.818,441,Positiv
10760109,30,0.7219,45,Positiv
10799021,30,0.6396,220,Positiv
10803185,30,0.7171,236,Positiv
10804760,30,0.8666,152,Positiv
10806296,30,0.7254,36,Positiv
10833758,30,0.8298,158,Positiv
10874769,16,0.7059,16,Positiv
10942194,30,0.8062,132,Positiv
10975977,30,0.7953,752,Positiv
10977189,30,0.6854,352,Positiv
10981333,30,0.7571,521,Positiv
10984193,30,0.7418,285,Positiv
10987290,30,0.8294,329,Positiv
11013424,30,0.7709,1106,Positiv
11110768,30,0.8097,362,Positiv
11114286,30,0.8411,117,Positiv
11123549,30,0.8215,252,Positiv
11136211,30,0.7882,71,Positiv
11146251,30,0.804,627,Positiv
11151304,30,0.7934,53,Positiv
11185169,30,0.7945,378,Positiv
11224372,30,0.7578,96,Positiv
11239700,30,0.7734,86,Positiv
11240241,5,0.8346,5,Positiv
11252808,30,0.8472,524,Positiv
11253321,30,0.6513,74,Positiv
11258337,30,0.7572,716,Positiv
11269062,30,0.7099,194,Positiv
11278771,30,0.8056,454,Positiv
11294046,13,0.6992,13,Positiv
11296027,30,0.8074,491,Positiv
11300569,30,0.7573,403,Positiv
11312267,22,0.7786,22,Positiv
11329661,30,0.8104,362,Positiv
11383371,30,0.7751,416,Positiv
11386559,30,0.6053,53,Positiv
11394531,30,0.7306,163,Positiv
11394674,30,0.7965,152,Positiv
11405658,30,0.8839,86,Positiv
11449299,30,0.7745,103,Positiv
11452718,5,0.8914,5,Positiv
11476416,30,0.6874,112,Positiv
11490205,30,0.8442,268,Positiv
11496321,30,0.797,111,Positiv
11563498,30,0.7626,234,Positiv
11579889,30,0.7353,300,Positiv
11598711,30,0.8276,191,Positiv
11602405,30,0.8268,55,Positiv
11621091,30,0.8681,471,Positiv
11634099,30,0.8246,114,Positiv
11634354,30,0.8149,60,Positiv
11635998,30,0.7321,80,Positiv
11641487,30,0.8058,401,Positiv
11645474,30,0.5462,447,Positiv
11646067,30,0.8222,538,Positiv
11657097,30,0.7611,333,Positiv
11665228,30,0.8332,335,Positiv
11665290,29,0.8309,29,Positiv
11675069,30,0.7577,248,Positiv
11684932,30,0.6342,384,Positiv
11706481,30,0.7103,229,Positiv
11708914,30,0.869,341,Positiv
11716539,30,0.597,351,Positiv
11733566,30,0.8056,59,Positiv
11739986,30,0.7942,267,Positiv
11758103,20,0.7064,20,Positiv
11765832,30,0.8688,142,Positiv
11772272,29,0.7746,29,Positiv
11810016,30,0.8923,357,Positiv
11816589,30,0.8219,32,Positiv
11823576,30,0.8344,554,Positiv
11824387,30,0.6615,215,Positiv
11832784,30,0.7988,447,Positiv
11841979,30,0.7569,36,Positiv
11842679,30,0.7997,399,Positiv
11843939,1,0.548,1,Positiv
11847059,30,0.5088,73,Positiv
11847427,30,0.684,223,Positiv
11885571,30,0.8263,124,Positiv
11899122,30,0.7897,136,Positiv
11910435,30,0.8348,126,Positiv
11922741,30,0.7072,582,Positiv
11932081,30,0.7682,122,Positiv
11943965,30,0.9012,75,Positiv
12008670,30,0.7566,403,Positiv
12109815,30,0.7365,61,Positiv
12173272,1,0.9012,1,Positiv
12218823,30,0.8823,208,Positiv
12221743,30,0.7697,78,Positiv
12238742,30,0.8687,156,Positiv
12307007,27,0.8831,27,Positiv
12355377,30,0.8275,197,Positiv
12384146,30,0.8266,175,Positiv
12393088,30,0.8319,76,Positiv
12485303,30,0.8459,153,Positiv
12578337,30,0.7488,269,Positiv
12640364,30,0.834,41,Positiv
12663400,30,0.77,117,Positiv
12692624,30,0.7946,240,Positiv
12692857,30,0.8616,82,Positiv
12770238,10,0.9036,10,Positiv
